task,log_inv_rate,mode,index,outcome,passed,detail
T1-b,1,proof_byte/tail,505951,VERIFY_REJECTED,true,"proof byte 505951 of 505952 XOR 0x01"
T1-c,1,private_word/middle,15034368,VERIFY_REJECTED,true,"private[15034368] 0x0000000000000054 -> 0x0000000000000055 (low bit flipped)"
T1-c,1,inout_word/first,0,VERIFY_REJECTED,true,"inout[0] 0x0000000000020bd0 -> 0x0000000000020bd1 (low bit flipped)"
T1-c,1,proof_byte/middle,295600,VERIFY_REJECTED,true,"proof byte 295600 of 591200 XOR 0x01"
T2,1,private_word/first,0,VERIFY_REJECTED,true,"private[0] 0x0000000000000014 -> 0x0000000000000015 (low bit flipped)"
T2,1,private_word/middle,190311,VERIFY_REJECTED,true,"private[190311] 0x0000000000000000 -> 0x0000000000000001 (low bit flipped)"
T2,1,private_word/last,380621,VERIFY_REJECTED,true,"private[380621] 0x00000071e30c03fe -> 0x00000071e30c03ff (low bit flipped)"
T2,1,inout_word/first,0,VERIFY_REJECTED,true,"inout[0] 0x000005ee0c73ce10 -> 0x000005ee0c73ce11 (low bit flipped)"
T2,1,inout_word/last,0,VERIFY_REJECTED,true,"inout[0] 0x000005ee0c73ce10 -> 0x000005ee0c73ce11 (low bit flipped)"
T2,1,proof_byte/head,0,VERIFY_REJECTED,true,"proof byte 0 of 346400 XOR 0x01"
T2,1,proof_byte/middle,173200,VERIFY_REJECTED,true,"proof byte 173200 of 346400 XOR 0x01"
T2,1,proof_byte/tail,346399,VERIFY_REJECTED,true,"proof byte 346399 of 346400 XOR 0x01"
T3,1,private_word/first,0,VERIFY_REJECTED,true,"private[0] 0xffffffffffffffb5 -> 0xffffffffffffffb4 (low bit flipped)"
T3,1,private_word/middle,1199704,VERIFY_REJECTED,true,"private[1199704] 0x0000000001f87f20 -> 0x0000000001f87f21 (low bit flipped)"
T3,1,private_word/last,2399407,VERIFY_REJECTED,true,"private[2399407] 0x0000000000000000 -> 0x0000000000000001 (low bit flipped)"
T3,1,inout_word/first,0,VERIFY_REJECTED,true,"inout[0] 0x000007f17d731c1a -> 0x000007f17d731c1b (low bit flipped)"
T3,1,inout_word/last,7,VERIFY_REJECTED,true,"inout[7] 0x0000031a488985b8 -> 0x0000031a488985b9 (low bit flipped)"
T3,1,proof_byte/head,0,VERIFY_REJECTED,true,"proof byte 0 of 460112 XOR 0x01"
T3,1,proof_byte/middle,230056,VERIFY_REJECTED,true,"proof byte 230056 of 460112 XOR 0x01"
T3,1,proof_byte/tail,460111,VERIFY_REJECTED,true,"proof byte 460111 of 460112 XOR 0x01"
